"County","Precinct","CST","REP","DEM","LIB","GRE"
"MECKLENBURG","064",0,221,517,10,3
"CABARRUS","04-03",1,251,178,6,4
"FRANKLIN","15",10,919,1644,21,5
"ORANGE","PA",1,81,81,0,0
"WAKE","01-35",0,24,221,1,1
"GASTON","18",8,2291,2279,45,14
"ROWAN","35",1,263,618,8,2
"MECKLENBURG","047",1,695,953,17,4
"MONTGOMERY","T1",1,954,533,14,1
"SAMPSON","TURK",0,443,406,4,1
"ALEXANDER","G1G2",3,1047,229,1,0
"DARE","ONE STOP TWO",1,1114,673,14,3
"LINCOLN","WEST OS",1,4095,747,17,6
"CHATHAM","PIT113",3,2524,3729,59,20
"NORTHAMPTON","SEVERN",0,71,16,2,0
"GUILFORD","CG2",1,152,116,1,2
"MECKLENBURG","143",6,2015,1608,39,9
"MECKLENBURG","042",2,78,1384,5,7
"PAMLICO","4MSIC",0,65,83,0,0
"DURHAM","42",1,8,126,2,0
"WILKES","TRANSFER",0,3,0,0,0
"HAYWOOD","BE-3",1,978,338,7,5
"FORSYTH","704",2,410,1152,30,7
"WAKE","02-02",1,528,167,17,2
"COLUMBUS","P09",2,388,359,2,2
"MONTGOMERY","CHE",0,426,127,2,0
"HENDERSON","CV",1,166,193,1,2
"BEAUFORT","CHOCO",0,236,110,6,2
"CATAWBA","20",3,1963,596,19,12
"MECKLENBURG","232",5,1674,1382,36,6
"BURKE","0020",0,437,334,6,1
"CUMBERLAND","G10B",3,990,1146,28,6
"NORTHAMPTON","SEABOA",0,53,114,2,1
"MOORE","ABSENTEE",10,4370,6797,100,26
"MECKLENBURG","126",1,304,1796,18,7
"ALAMANCE","TRANSFER",0,0,0,0,0
"WAKE","OSBR 41-80",1,132,749,5,0
"MECKLENBURG","214",4,545,1663,12,7
"FORSYTH","605",2,836,1865,22,12
"ROBESON","08",0,956,272,5,0
